scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
61,LINK_FAILURE,Cell-25,2025-02-16T06:29:00Z,33.5,0.36,0.78,18,52,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Applied RLF timer T310 reconfiguration. link stability improved from 60% to 94% in 143s.
62,LINK_FAILURE,Cell-2,2025-01-08T17:03:00Z,29.0,0.12,0.98,6,116,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Applied RLF timer T310 reconfiguration. link stability improved from 60% to 94% in 251s.
63,LINK_FAILURE,Cell-13,2025-12-09T00:39:00Z,29.5,0.24,0.73,11,79,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Adjusted RLF timer T310 from 1000ms to 2000ms. Recovery: link stability restored from 60% to 94% within 274s.
64,LINK_FAILURE,Cell-50,2025-02-19T05:38:00Z,58.5,0.32,0.93,10,59,"LINK_FAILURE: Radio link failure, frequent RLF events detected","Triggered RLF timer T310 optimization. Fault resolved, link stability normalized in 154s."
65,LINK_FAILURE,Cell-2,2025-10-23T09:36:00Z,56.3,0.21,0.97,11,29,"LINK_FAILURE: Radio link failure, frequent RLF events detected","Triggered RLF timer T310 optimization. Fault resolved, link stability normalized in 297s."
66,LINK_FAILURE,Cell-41,2025-01-12T03:44:00Z,54.0,0.28,0.74,23,120,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Applied RLF timer T310 reconfiguration. link stability improved from 60% to 94% in 122s.
67,LINK_FAILURE,Cell-35,2025-07-12T21:23:00Z,40.2,0.2,0.95,20,33,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Adjusted RLF timer T310 from 1000ms to 2000ms. Recovery: link stability restored from 60% to 94% within 169s.
68,LINK_FAILURE,Cell-41,2025-09-25T14:45:00Z,37.4,0.32,0.98,13,98,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Adjusted RLF timer T310 from 1000ms to 2000ms. Recovery: link stability restored from 60% to 94% within 288s.
69,LINK_FAILURE,Cell-31,2025-08-08T13:52:00Z,43.7,0.2,0.77,7,55,"LINK_FAILURE: Radio link failure, frequent RLF events detected","Triggered RLF timer T310 optimization. Fault resolved, link stability normalized in 179s."
70,LINK_FAILURE,Cell-49,2025-04-12T18:39:00Z,35.2,0.11,0.95,10,82,"LINK_FAILURE: Radio link failure, frequent RLF events detected","Triggered RLF timer T310 optimization. Fault resolved, link stability normalized in 178s."
71,LINK_FAILURE,Cell-17,2025-04-24T08:56:00Z,48.0,0.18,0.7,11,30,"LINK_FAILURE: Radio link failure, frequent RLF events detected","Triggered RLF timer T310 optimization. Fault resolved, link stability normalized in 147s."
72,LINK_FAILURE,Cell-27,2025-02-10T17:48:00Z,47.6,0.29,0.84,30,22,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Adjusted RLF timer T310 from 1000ms to 2000ms. Recovery: link stability restored from 60% to 94% within 185s.
73,LINK_FAILURE,Cell-15,2025-12-18T22:15:00Z,46.6,0.21,0.86,16,74,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Applied RLF timer T310 reconfiguration. link stability improved from 60% to 94% in 163s.
74,LINK_FAILURE,Cell-22,2025-12-18T22:29:00Z,32.3,0.17,0.91,15,35,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Applied RLF timer T310 reconfiguration. link stability improved from 60% to 94% in 150s.
75,LINK_FAILURE,Cell-49,2025-10-10T05:12:00Z,49.5,0.18,0.87,29,87,"LINK_FAILURE: Radio link failure, frequent RLF events detected",Adjusted RLF timer T310 from 1000ms to 2000ms. Recovery: link stability restored from 60% to 94% within 236s.
